1,-16,14,-2,-8,1,10,-3,5
2,5,10,7,-6,-13,-8,-2,-15
3,6,-7,15,-5,-16,-8,5,8
4,-16,4,-14,7,4,-4,13,-6
5,-8,-16,11,10,0,11,-12,-13
6,-5,-8,-6,8,14,6,-13,3
7,14,-7,-9,14,-13,7,8,5
8,5,-6,12,-12,15,-15,-6,9
9,-9,-9,-3,13,7,0,-4,3
10,8,-15,14,-9,14,-5,7,9
11,-12,3,15,-3,2,-6,11,-15
12,-6,4,4,-13,-11,5,12,12
13,1,1,14,0,7,9,-14,3
14,-15,-15,2,3,-6,-15,-16,-5
15,1,0,-11,12,-9,-9,-7,3
16,5,13,-11,-1,-10,-2,-4,-14
17,-11,-4,-9,0,-1,-14,8,11
18,-14,-9,-6,-6,-16,-15,-1,-9
19,0,-14,-4,-12,-10,-1,14,-5
20,-9,-10,-9,9,-12,-7,10,14
21,-12,-4,-9,2,-12,-16,-12,12
22,7,-15,-2,4,1,-1,8,7
23,-13,-16,-14,-3,-15,-16,15,5
24,-11,1,-13,-3,14,-14,6,-6
25,7,-12,5,-5,-4,-8,9,-12
26,-4,-10,15,0,3,-9,5,-11
27,8,5,1,8,15,-14,-1,-11
28,-1,11,7,3,-14,5,-2,-14
29,-4,9,14,14,-8,12,-7,-13
30,-16,1,-3,14,-9,-9,0,14
31,12,-9,6,-13,4,8,1,8
32,14,-13,-10,-5,1,2,-13,7
33,15,11,-4,-7,1,-3,-6,-15
34,3,-3,-3,-3,7,-3,1,3
35,12,4,9,-2,-13,-7,9,0
36,4,-8,5,5,-2,2,-5,15
37,0,-9,15,11,-9,13,-9,11
38,-3,4,11,2,-1,-14,-6,-16
39,-13,7,-7,-15,-4,-16,-3,2
40,6,1,0,14,2,7,6,-15
41,-15,-14,-1,6,-7,11,10,3
42,-2,8,-5,13,-4,9,-6,-8
43,-1,-7,6,3,7,-5,15,-6
44,-8,-7,11,-2,2,-3,10,-11
45,-8,-16,-8,12,-2,12,14,1
46,1,10,-10,5,9,15,-4,-12
47,-13,-9,-4,-4,0,9,11,-5
48,-3,14,-7,-15,15,0,0,6
49,15,-3,-11,-8,10,-15,-7,9
50,-14,-1,-12,2,2,11,-13,7
51,-11,6,1,-13,13,-5,-7,-14
52,-7,-4,12,-15,-2,-14,10,8
53,2,13,-3,-6,7,4,-9,14
54,-9,12,9,-1,-5,-13,7,-14
55,-15,2,12,12,10,9,13,10
56,15,-5,6,3,6,-8,-10,-3
57,14,-6,5,2,12,7,-2,12
58,-8,4,-13,15,-4,5,7,-4
59,13,-11,-14,-1,-12,-1,13,-15
60,-16,13,5,11,1,-10,10,14
61,8,-5,9,8,-15,0,-10,-13
62,-10,0,-10,5,-3,-11,-9,6
63,7,1,6,13,13,-16,2,-15
64,-8,-8,10,-15,1,13,5,7
65,10,14,-4,13,-13,0,-16,4
66,12,3,0,6,-4,-12,13,-12
67,1,5,-1,14,-13,12,1,4
68,6,-16,15,-12,13,11,-11,10
69,2,-6,10,-4,-10,11,-9,-3
70,10,14,-10,2,-4,-3,-7,-6
71,-3,7,-8,3,-4,-12,1,-15
72,7,-5,-10,14,-16,2,4,5
73,12,-12,8,0,13,-6,10,6
74,-5,-15,-4,-8,8,2,10,-16
75,8,12,-1,11,-7,1,-15,-9
76,-13,5,15,-6,-6,14,0,-7
77,-15,10,0,-12,6,0,-7,8
78,4,-16,-12,14,-8,-13,1,15
79,-4,10,-7,-1,2,-6,-5,12
80,-7,8,-7,8,4,-15,-8,8
81,-10,1,0,-13,-7,13,2,-7
82,-12,7,-10,11,5,-5,-4,-14
83,11,3,-5,2,-16,-15,7,-15
84,5,2,8,12,-3,1,0,2
85,11,-10,-14,3,-1,12,14,7
86,-12,14,14,-3,15,7,10,-8
87,-1,-11,7,-6,-9,-5,-4,-13
88,1,-12,3,3,-13,14,-10,0
89,12,-9,-12,8,8,3,6,-8
90,-6,1,-16,3,-8,-16,-16,9
91,-5,-5,-10,-7,-9,-11,-2,-9
92,-6,-12,-10,9,8,5,-13,-6
93,-10,12,2,-3,-9,1,6,9
94,-9,-6,-10,-14,6,-8,-13,-8
95,8,-1,-14,-13,-3,-1,-16,-14
96,10,-7,12,-15,0,-16,-2,-7
97,-8,10,8,-5,-14,9,-2,1
98,15,0,-14,-7,-7,7,7,14
99,3,-4,-6,-14,4,12,-12,7
100,-3,-12,15,-8,4,2,3,-15
101,-11,-15,12,7,7,-7,15,15
102,-7,13,-7,14,4,14,5,7
103,13,11,1,0,6,-16,-12,-5
104,-14,13,-5,-4,13,6,-16,-3
105,-14,-6,-1,1,-5,-6,3,-9
106,-14,7,-2,-11,2,4,0,-15
107,-14,13,-7,12,4,4,13,4
108,11,-14,-8,5,-7,-9,6,-6
109,4,-7,-1,-2,-15,-2,7,3
110,14,3,14,10,-1,-12,-6,-4
111,-16,-12,9,3,10,-1,8,11
112,-12,-13,-9,9,4,3,-2,-11
113,1,-9,-16,-15,-11,2,-8,-1
114,1,12,11,5,-15,-15,2,5
115,-11,-10,11,6,-9,12,5,2
116,9,-5,-9,-6,0,0,7,4
117,8,14,4,7,-4,13,-9,5
118,15,3,15,-1,14,2,7,9
119,-7,-15,-16,8,-11,15,-5,-15
120,13,-14,11,14,-16,-14,-15,-10
121,-13,-15,5,6,-5,-5,10,-10
122,-3,13,-14,9,-1,8,11,-6
123,2,5,8,-12,8,15,11,-5
124,15,-9,14,-16,-15,-12,14,-1
125,-1,13,-7,11,-10,-4,-15,-9
126,3,-6,5,-2,-5,0,-14,14
127,-5,7,-9,10,15,10,4,-4
128,6,8,-9,6,13,6,12,9
129,-4,8,8,9,14,-12,11,-15
130,-16,-14,4,-7,-11,12,-16,-1
131,4,0,-9,13,3,3,4,-8
132,10,-5,-2,15,-12,6,-3,5
133,3,-8,-14,-16,6,2,5,-16
134,-12,11,2,-8,-9,-12,-9,-16
135,-8,-15,8,9,-9,3,-9,-10
136,-5,7,-2,4,-4,-4,-9,-6
137,6,-7,15,-13,13,-12,10,6
138,3,-12,-9,-6,-2,-16,-16,-15
139,-1,8,8,-1,1,-3,13,-16
140,0,-14,4,-4,-8,-12,-13,6
141,-11,-13,-8,9,3,10,13,-15
142,-8,15,14,12,-1,11,3,0
143,-16,-4,-13,11,-1,-16,5,-3
144,-11,1,-7,-15,12,-2,-4,10
145,-1,-15,-2,-8,13,8,-1,-3
146,1,-10,-10,-6,8,15,-4,-4
147,-8,1,-5,0,-7,15,-10,12
148,7,-5,6,10,4,5,12,-14
149,-6,-10,14,1,-9,0,5,13
150,-6,10,10,-16,-14,-15,1,-7
151,12,-13,2,0,0,-3,2,11
152,-13,1,0,-14,-15,6,-3,-10
153,4,12,-7,-14,7,10,-1,-7
154,11,4,-14,-8,11,-14,-13,11
155,15,2,-14,-11,0,13,-9,11
156,-15,4,12,-1,-4,-6,7,12
157,10,-6,6,15,-16,-12,13,-5
158,-16,-15,3,-11,-14,11,-12,-6
159,13,9,3,-4,3,-4,9,6
160,-3,11,-14,-1,11,10,11,13
161,3,1,-4,7,-8,-10,-6,4
162,0,10,7,-10,-4,-13,11,3
163,11,-12,-5,-11,6,0,6,15
164,-1,10,3,-6,-6,-7,13,-10
165,3,15,-7,-15,-5,-11,-5,-15
166,-15,14,1,3,8,-14,3,1
167,0,-11,14,11,15,3,3,-12
168,10,14,-1,-16,-13,-14,13,14
169,-13,-16,-4,-5,0,11,13,-14
170,-3,10,-3,15,14,5,-3,-4
171,-16,2,-15,3,-13,1,4,-8
172,10,-9,-4,9,5,7,-5,6
173,-7,5,-10,5,-15,-6,8,-14
174,-6,7,2,3,-8,-15,2,1
175,6,2,13,-3,11,1,9,12
176,13,-13,12,0,-5,6,-6,14
177,-9,-4,-2,7,0,-13,6,6
178,-12,14,-12,-6,10,1,11,-15
179,0,-14,5,2,5,15,3,-15
180,-11,-12,-11,-13,-13,-3,11,-13
181,-13,-11,7,12,4,-6,4,-15
182,-9,-3,-3,-11,-16,6,9,-10
183,8,1,10,-3,-6,-3,-9,15
184,4,-1,6,-13,-14,-7,-14,-5
185,-15,-16,12,-9,-9,-16,-4,6
186,-12,4,7,-12,-1,-3,-8,10
187,-9,4,7,5,-5,-7,-10,-14
188,7,15,-8,-2,-13,2,3,7
189,1,11,-9,8,11,12,-13,-15
190,-4,-6,12,-1,-6,1,4,-3
191,12,-5,-6,-9,8,0,-11,4
192,-14,15,-16,-3,4,0,-2,0
193,3,-14,14,6,-10,8,-4,7
194,-13,-3,8,10,-8,-6,-10,9
195,11,14,-11,-3,7,5,5,9
196,12,-10,14,-15,14,-2,8,8
197,13,11,-7,7,6,-3,-1,5
198,11,14,-4,-3,0,10,14,-3
199,4,11,-4,-3,-11,10,-16,-12
200,5,5,-11,-14,1,7,6,7
201,-2,-7,5,9,-7,0,6,11
202,6,-9,-4,-13,-7,-13,-15,7
203,4,10,7,15,15,3,15,-1
204,-6,-14,-5,-6,-11,-10,11,10
205,14,-8,10,-12,-11,1,-6,8
206,14,-10,-4,5,11,-10,-5,1
207,7,-10,-3,-7,4,-6,-3,-1
208,-14,1,-16,9,-13,-14,5,-11
209,6,9,3,5,-9,-8,14,-1
210,4,10,7,14,11,-7,-2,1
211,10,15,-8,-9,7,0,-7,-6
212,-10,-13,10,-10,-9,-7,2,-13
213,-1,-8,13,-3,8,12,1,4
214,-9,-7,-11,5,13,6,14,-3
215,8,-14,4,-3,-12,-3,12,-1
216,9,7,2,3,-5,2,10,-15
217,-15,10,1,-3,-11,7,-15,-15
218,0,8,5,-7,10,4,14,-3
219,-5,1,1,-3,11,3,-14,-16
220,11,1,8,11,-14,-14,11,-6
221,-15,-11,8,-1,14,-4,-7,8
222,-2,0,2,12,-8,-5,-7,-1
223,9,-10,-4,13,-10,8,-6,-4
224,4,15,-15,-15,-11,-14,10,13
225,-7,-2,-6,-4,-8,-8,-6,1
226,-15,-3,-8,-10,10,-15,-3,-6
227,11,-13,-7,15,-6,8,2,5
228,15,1,-4,2,11,-8,10,-13
